"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2743031,"October 29, 2023",California,Azusa,"5400 block of N Banewell Ave",0,4,0,0,0,N/A
2742231,"October 28, 2023",Louisiana,"Lake Charles","Bruce Dr and Opelousas St",0,6,0,0,1,N/A
2742572,"October 28, 2023","New Mexico","Las Cruces","3000 block of Dyer St",0,7,0,0,0,N/A
2741772,"October 28, 2023",Maryland,Cumberland,"20 S Mechanic St",1,3,0,0,0,N/A
2742471,"October 28, 2023",California,"Chula Vista","2015 Birch Rd",0,4,0,0,1,N/A
2742414,"October 28, 2023",Georgia,Decatur,"3300 block of Glenwood Rd",0,4,0,0,0,N/A
2741949,"October 28, 2023",Texas,Texarkana,"700 block of N Stateline Ave",3,3,0,0,2,N/A
2741453,"October 28, 2023",Illinois,Chicago,"2000 block of N Lorel Ave",0,4,0,0,0,N/A
2746094,"October 27, 2023",Arkansas,"Little Rock","7620 Baseline Rd",1,4,0,0,0,N/A
2741490,"October 27, 2023",Ohio,Mansfield,"810 Ferndale Rd",2,4,0,0,1,N/A
2739575,"October 26, 2023","North Carolina",Clinton,"10310 Garland Hwy",5,0,0,0,0,N/A
2738185,"October 25, 2023",Maine,Lewiston,"24 Mollison Way",18,13,1,0,0,N/A
2737798,"October 24, 2023","North Carolina",Greenville,"1500 SW Greenville Blvd",1,3,0,0,2,N/A
2736792,"October 23, 2023",Illinois,Chicago,"6140 S Justine St",1,3,0,0,0,N/A
2737647,"October 23, 2023",Colorado,Durango,"149 S Camino del Rio",1,3,0,0,3,N/A
2735504,"October 22, 2023",Mississippi,Meridian,"2409 5th St",1,3,0,0,0,N/A
2735299,"October 22, 2023",Arkansas,"Pine Bluff","200 University Dr",1,3,0,0,4,N/A
2735026,"October 21, 2023",Texas,"College Station","2501 Texas Ave S",0,4,0,0,1,N/A
2735343,"October 21, 2023",Texas,Borger,"718 N Main St",1,3,0,0,1,N/A
2735073,"October 21, 2023",California,"Santa Maria","1000 block of N School St",1,3,0,0,0,N/A
2735271,"October 21, 2023","North Carolina",Fayetteville,"1520 Slater Ave",1,3,0,0,1,N/A
2735260,"October 21, 2023",California,Oakley,"487 Shannon Way",1,3,0,0,1,N/A
2735817,"October 21, 2023",Louisiana,Monroe,"3100 block of Renwick St",1,5,0,0,2,N/A
2735403,"October 20, 2023",Louisiana,Alexandria,"1900 block of Kelly St",0,4,0,0,2,N/A
2734098,"October 20, 2023",Nebraska,Lincoln,"13th St and O St",0,4,0,0,0,N/A
2733549,"October 19, 2023",Washington,Toppenish,"200 block of Pearne St",3,1,1,0,0,N/A
2733136,"October 18, 2023",Ohio,Columbus,"200 block of Winner Ave",0,4,0,0,1,N/A
2732484,"October 17, 2023",Georgia,Augusta,"2 Greene St",0,4,0,0,0,N/A
2731511,"October 16, 2023",Maryland,Severn,"1159 Reece Rd",0,4,0,0,0,N/A
2731681,"October 16, 2023",California,"Los Angeles","4410 Lankershim Blvd",3,1,0,0,0,N/A
2731021,"October 15, 2023","South Carolina",Barnwell,"Quail Rd and Patterson Rd",1,5,0,0,0,N/A
2730602,"October 15, 2023",Minnesota,Minneapolis,"400 block of N 3rd Ave",0,4,0,0,0,N/A
2729845,"October 14, 2023",Colorado,Denver,"12445 E 39th Ave",3,3,0,0,0,N/A
2730782,"October 13, 2023",Mississippi,Cleveland,"1823 S Chrisman Ave",2,2,0,0,1,N/A
2729811,"October 13, 2023",Missouri,"Kansas City","E 10th St and Indiana Ave",0,5,0,0,0,N/A
2728246,"October 12, 2023",Minnesota,Princeton,"225 190th Ave NE",0,5,0,1,1,N/A
2727876,"October 10, 2023",Wisconsin,Madison,"116 Milky Way",1,3,0,0,0,N/A
2725771,"October 8, 2023",Illinois,Chicago,"316 W Erie St",0,8,0,0,0,N/A
2725838,"October 8, 2023",Pennsylvania,Indiana,"640 N 5th Ave",1,8,0,0,0,N/A
2726444,"October 8, 2023",Louisiana,Gonzales,"616 N Tobey Ave",0,7,0,0,1,N/A
